15	10	E	-7041639.959680696	200
emissionprobs	2	7	H3k79me2	1	0.7702206371711915
emissionprobs	2	8	H3k9ac	0	0.9911499308429381
emissionprobs	2	8	H3k9ac	1	0.008850069157061925
emissionprobs	2	9	H4k20me1	0	0.8769388199926518
emissionprobs	2	9	H4k20me1	1	0.12306118000734827
emissionprobs	3	0	Ctcf	0	0.9939193983178723
emissionprobs	3	0	Ctcf	1	0.006080601682127683
emissionprobs	3	1	H3k27ac	0	0.9969965994696117
emissionprobs	3	1	H3k27ac	1	0.003003400530388342
emissionprobs	3	2	H3k27me3	0	0.9996725219199392
emissionprobs	3	2	H3k27me3	1	3.2747808006089614E-4
emissionprobs	3	3	H3k36me3	0	0.9689756328646413
emissionprobs	3	3	H3k36me3	1	0.031024367135358635
emissionprobs	3	4	H3k4me1	0	0.9807630185088235
emissionprobs	3	4	H3k4me1	1	0.019236981491176405
emissionprobs	3	5	H3k4me2	0	0.9979622950337075
emissionprobs	3	5	H3k4me2	1	0.0020377049662925724
emissionprobs	3	6	H3k4me3	0	0.9999640058879643
emissionprobs	3	6	H3k4me3	1	3.599411203568286E-5
emissionprobs	3	7	H3k79me2	0	0.3050619843409584
emissionprobs	3	7	H3k79me2	1	0.6949380156590417
emissionprobs	3	8	H3k9ac	0	0.9963966798035356
emissionprobs	3	8	H3k9ac	1	0.003603320196464379
emissionprobs	3	9	H4k20me1	0	0.9638113182308076
emissionprobs	3	9	H4k20me1	1	0.036188681769192384
emissionprobs	4	0	Ctcf	0	0.981263084976524
emissionprobs	4	0	Ctcf	1	0.01873691502347601
emissionprobs	4	1	H3k27ac	0	0.7213693191660231
emissionprobs	4	1	H3k27ac	1	0.2786306808339769
emissionprobs	4	2	H3k27me3	0	0.9998376805474716
emissionprobs	4	2	H3k27me3	1	1.6231945252844973E-4
emissionprobs	4	3	H3k36me3	0	0.8739965614089727
emissionprobs	4	3	H3k36me3	1	0.1260034385910273
emissionprobs	4	4	H3k4me1	0	0.30027179217219996
emissionprobs	4	4	H3k4me1	1	0.6997282078278001
emissionprobs	4	5	H3k4me2	0	0.4745381065580259
emissionprobs	4	5	H3k4me2	1	0.525461893441974
emissionprobs	4	6	H3k4me3	0	0.944652511771238
emissionprobs	4	6	H3k4me3	1	0.055347488228762044
emissionprobs	4	7	H3k79me2	0	0.06985136846115857
emissionprobs	4	7	H3k79me2	1	0.9301486315388414
emissionprobs	4	8	H3k9ac	0	0.9505348905033639
emissionprobs	4	8	H3k9ac	1	0.049465109496636094
emissionprobs	4	9	H4k20me1	0	0.8711979240232947
emissionprobs	4	9	H4k20me1	1	0.1288020759767054
emissionprobs	5	0	Ctcf	0	0.9649423473558698
emissionprobs	5	0	Ctcf	1	0.03505765264413013
emissionprobs	5	1	H3k27ac	0	0.8192147124182501
emissionprobs	5	1	H3k27ac	1	0.18078528758174986
emissionprobs	5	2	H3k27me3	0	0.9999132192815525
emissionprobs	5	2	H3k27me3	1	8.678071844740634E-5
emissionprobs	5	3	H3k36me3	0	0.849754328547615
emissionprobs	5	3	H3k36me3	1	0.150245671452385
emissionprobs	5	4	H3k4me1	0	0.35069999278560493
emissionprobs	5	4	H3k4me1	1	0.6493000072143951
emissionprobs	5	5	H3k4me2	0	0.8388104553822445
emissionprobs	5	5	H3k4me2	1	0.16118954461775545
emissionprobs	5	6	H3k4me3	0	0.9989598748998386
emissionprobs	5	6	H3k4me3	1	0.0010401251001614358
emissionprobs	5	7	H3k79me2	0	0.8547997973265818
emissionprobs	5	7	H3k79me2	1	0.14520020267341813
emissionprobs	5	8	H3k9ac	0	0.9859349747891831
emissionprobs	5	8	H3k9ac	1	0.014065025210816868
emissionprobs	5	9	H4k20me1	0	0.9689556970185147
emissionprobs	5	9	H4k20me1	1	0.03104430298148524
emissionprobs	6	0	Ctcf	0	0.9849757984916987
emissionprobs	6	0	Ctcf	1	0.015024201508301289
emissionprobs	6	1	H3k27ac	0	0.9884389264832713
emissionprobs	6	1	H3k27ac	1	0.011561073516728654
emissionprobs	6	2	H3k27me3	0	0.9986665532398711
emissionprobs	6	2	H3k27me3	1	0.0013334467601288722
emissionprobs	6	3	H3k36me3	0	0.9988704286454367
emissionprobs	6	3	H3k36me3	1	0.0011295713545633227
emissionprobs	6	4	H3k4me1	0	0.3336363162848283
emissionprobs	6	4	H3k4me1	1	0.6663636837151716
emissionprobs	6	5	H3k4me2	0	0.7946531756761096
emissionprobs	6	5	H3k4me2	1	0.2053468243238904
emissionprobs	6	6	H3k4me3	0	0.9997565218792346
emissionprobs	6	6	H3k4me3	1	2.4347812076543258E-4
emissionprobs	6	7	H3k79me2	0	0.9983356665600924
emissionprobs	6	7	H3k79me2	1	0.0016643334399076353
emissionprobs	6	8	H3k9ac	0	0.992443430709908
emissionprobs	6	8	H3k9ac	1	0.007556569290091899
emissionprobs	6	9	H4k20me1	0	0.9947736162524717
emissionprobs	6	9	H4k20me1	1	0.005226383747528199
emissionprobs	7	0	Ctcf	0	0.9800613903328642
emissionprobs	7	0	Ctcf	1	0.01993860966713584
emissionprobs	7	1	H3k27ac	0	0.21381172759241443
emissionprobs	7	1	H3k27ac	1	0.7861882724075855
emissionprobs	7	2	H3k27me3	0	0.9998734435777891
emissionprobs	7	2	H3k27me3	1	1.2655642221098495E-4
emissionprobs	7	3	H3k36me3	0	0.998987148483326
emissionprobs	7	3	H3k36me3	1	0.0010128515166739033
emissionprobs	7	4	H3k4me1	0	0.3039229166368943
emissionprobs	7	4	H3k4me1	1	0.6960770833631058
emissionprobs	7	5	H3k4me2	0	0.5689141682397915
emissionprobs	7	5	H3k4me2	1	0.4310858317602086
emissionprobs	7	6	H3k4me3	0	0.9984640107129438
emissionprobs	7	6	H3k4me3	1	0.0015359892870561425
emissionprobs	7	7	H3k79me2	0	0.9986569190630179
emissionprobs	7	7	H3k79me2	1	0.0013430809369821338
emissionprobs	7	8	H3k9ac	0	0.9417553640985479
emissionprobs	7	8	H3k9ac	1	0.05824463590145216
emissionprobs	7	9	H4k20me1	0	0.9982132751413911
emissionprobs	7	9	H4k20me1	1	0.00178672485860876
emissionprobs	8	0	Ctcf	0	0.9628418378398851
emissionprobs	8	0	Ctcf	1	0.037158162160114916
emissionprobs	8	1	H3k27ac	0	0.01293804027546929
emissionprobs	8	1	H3k27ac	1	0.9870619597245307
emissionprobs	8	2	H3k27me3	0	0.9998332908012817
emissionprobs	8	2	H3k27me3	1	1.6670919871826783E-4
emissionprobs	8	3	H3k36me3	0	0.9854072517840005
emissionprobs	8	3	H3k36me3	1	0.014592748215999624
emissionprobs	8	4	H3k4me1	0	0.12672368188935212
emissionprobs	8	4	H3k4me1	1	0.8732763181106478
emissionprobs	8	5	H3k4me2	0	0.04037333760722011
emissionprobs	8	5	H3k4me2	1	0.9596266623927798
emissionprobs	8	6	H3k4me3	0	0.7653803638407913
emissionprobs	8	6	H3k4me3	1	0.23461963615920864
emissionprobs	8	7	H3k79me2	0	0.9186564714988903
emissionprobs	8	7	H3k79me2	1	0.08134352850110979
emissionprobs	8	8	H3k9ac	0	0.45334181375865845
emissionprobs	8	8	H3k9ac	1	0.5466581862413415
emissionprobs	8	9	H4k20me1	0	0.9896752709876259
emissionprobs	8	9	H4k20me1	1	0.010324729012374103
emissionprobs	9	0	Ctcf	0	0.9021434754099759
emissionprobs	9	0	Ctcf	1	0.09785652459002415
emissionprobs	9	1	H3k27ac	0	0.13369259458818786
emissionprobs	9	1	H3k27ac	1	0.8663074054118121
emissionprobs	9	2	H3k27me3	0	0.9956998016455728
emissionprobs	9	2	H3k27me3	1	0.004300198354427209
emissionprobs	9	3	H3k36me3	0	1.0
emissionprobs	9	3	H3k36me3	1	7.515472065460439E-19
emissionprobs	9	4	H3k4me1	0	0.7127012391696554
emissionprobs	9	4	H3k4me1	1	0.28729876083034456
emissionprobs	9	5	H3k4me2	0	0.028873984900652398
emissionprobs	9	5	H3k4me2	1	0.9711260150993476
emissionprobs	9	6	H3k4me3	0	0.009122213206546425
emissionprobs	9	6	H3k4me3	1	0.9908777867934535
emissionprobs	9	7	H3k79me2	0	0.9460304053816838
emissionprobs	9	7	H3k79me2	1	0.053969594618316206
emissionprobs	9	8	H3k9ac	0	0.2976561193163106
emissionprobs	9	8	H3k9ac	1	0.7023438806836894
emissionprobs	9	9	H4k20me1	0	0.9967103827474512
emissionprobs	9	9	H4k20me1	1	0.003289617252548785
emissionprobs	10	0	Ctcf	0	0.961440050700145
emissionprobs	10	0	Ctcf	1	0.03855994929985495
emissionprobs	10	1	H3k27ac	0	0.30350619553830854
emissionprobs	10	1	H3k27ac	1	0.6964938044616913
emissionprobs	10	2	H3k27me3	0	0.9936529789999708
emissionprobs	10	2	H3k27me3	1	0.0063470210000291715
emissionprobs	10	3	H3k36me3	0	0.9341671255423085
emissionprobs	10	3	H3k36me3	1	0.06583287445769148
emissionprobs	10	4	H3k4me1	0	0.6793445733728729
emissionprobs	10	4	H3k4me1	1	0.3206554266271271
emissionprobs	10	5	H3k4me2	0	0.00801625686050328
emissionprobs	10	5	H3k4me2	1	0.9919837431394968
emissionprobs	10	6	H3k4me3	0	0.01768533475585677
emissionprobs	10	6	H3k4me3	1	0.9823146652441432
emissionprobs	10	7	H3k79me2	0	0.01774697772912619
emissionprobs	10	7	H3k79me2	1	0.9822530222708739
emissionprobs	10	8	H3k9ac	0	0.30807307946742113
emissionprobs	10	8	H3k9ac	1	0.6919269205325789
emissionprobs	10	9	H4k20me1	0	0.925858469841254
emissionprobs	10	9	H4k20me1	1	0.07414153015874612
emissionprobs	11	0	Ctcf	0	0.8721161610142492
emissionprobs	11	0	Ctcf	1	0.12788383898575087
emissionprobs	11	1	H3k27ac	0	0.9402202044483534
emissionprobs	11	1	H3k27ac	1	0.05977979555164652
emissionprobs	11	2	H3k27me3	0	0.9903363729690091
emissionprobs	11	2	H3k27me3	1	0.009663627030990881
emissionprobs	11	3	H3k36me3	0	0.999112730105195
emissionprobs	11	3	H3k36me3	1	8.872698948050448E-4
emissionprobs	11	4	H3k4me1	0	0.4504362384682167
emissionprobs	11	4	H3k4me1	1	0.5495637615317832
emissionprobs	11	5	H3k4me2	0	0.05506724298700703
emissionprobs	11	5	H3k4me2	1	0.944932757012993
emissionprobs	11	6	H3k4me3	0	0.3591854596578567
emissionprobs	11	6	H3k4me3	1	0.6408145403421434
emissionprobs	11	7	H3k79me2	0	0.9666672417706926
emissionprobs	11	7	H3k79me2	1	0.03333275822930731
emissionprobs	11	8	H3k9ac	0	0.9544316135756418
emissionprobs	11	8	H3k9ac	1	0.04556838642435827
emissionprobs	11	9	H4k20me1	0	0.9926887261238891
emissionprobs	11	9	H4k20me1	1	0.007311273876110858
emissionprobs	12	0	Ctcf	0	0.9058418693470889
emissionprobs	12	0	Ctcf	1	0.09415813065291107
emissionprobs	12	1	H3k27ac	0	0.990995465430495
emissionprobs	12	1	H3k27ac	1	0.009004534569504915
emissionprobs	12	2	H3k27me3	0	0.2907575649951364
emissionprobs	12	2	H3k27me3	1	0.7092424350048637
emissionprobs	12	3	H3k36me3	0	0.9428323276964151
emissionprobs	12	3	H3k36me3	1	0.05716767230358494
emissionprobs	12	4	H3k4me1	0	0.3701022574053811
emissionprobs	12	4	H3k4me1	1	0.6298977425946188
emissionprobs	12	5	H3k4me2	0	0.29433512425351466
emissionprobs	12	5	H3k4me2	1	0.7056648757464854
emissionprobs	12	6	H3k4me3	0	0.5235763100292572
emissionprobs	12	6	H3k4me3	1	0.4764236899707428
emissionprobs	12	7	H3k79me2	0	0.9889000456120605
emissionprobs	12	7	H3k79me2	1	0.011099954387939563
emissionprobs	12	8	H3k9ac	0	0.9128154633689171
emissionprobs	12	8	H3k9ac	1	0.08718453663108289
emissionprobs	12	9	H4k20me1	0	0.8055516547005493
emissionprobs	12	9	H4k20me1	1	0.19444834529945065
emissionprobs	13	0	Ctcf	0	0.9964067369371906
emissionprobs	13	0	Ctcf	1	0.003593263062809469
emissionprobs	13	1	H3k27ac	0	0.9999800090754987
emissionprobs	13	1	H3k27ac	1	1.9990924501396126E-5
emissionprobs	13	2	H3k27me3	0	0.8572962036973123
emissionprobs	13	2	H3k27me3	1	0.14270379630268756
emissionprobs	13	3	H3k36me3	0	0.9997277648825221
emissionprobs	13	3	H3k36me3	1	2.722351174778279E-4
emissionprobs	13	4	H3k4me1	0	0.9976486449090042
emissionprobs	13	4	H3k4me1	1	0.0023513550909958036
emissionprobs	13	5	H3k4me2	0	0.9995238167055536
emissionprobs	13	5	H3k4me2	1	4.761832944464888E-4
emissionprobs	13	6	H3k4me3	0	0.9997001526544211
emissionprobs	13	6	H3k4me3	1	2.998473455789615E-4
emissionprobs	13	7	H3k79me2	0	0.9999397306783757
emissionprobs	13	7	H3k79me2	1	6.026932162441259E-5
emissionprobs	13	8	H3k9ac	0	0.9944434903317698
emissionprobs	13	8	H3k9ac	1	0.005556509668230073
emissionprobs	13	9	H4k20me1	0	0.9774074508928154
emissionprobs	13	9	H4k20me1	1	0.022592549107184577
emissionprobs	14	0	Ctcf	0	0.9996432369905075
emissionprobs	14	0	Ctcf	1	3.567630094924856E-4
emissionprobs	14	1	H3k27ac	0	0.9998806018267995
emissionprobs	14	1	H3k27ac	1	1.193981732004099E-4
emissionprobs	14	2	H3k27me3	0	0.9974120665806326
emissionprobs	14	2	H3k27me3	1	0.002587933419367317
emissionprobs	14	3	H3k36me3	0	0.999372465227102
emissionprobs	14	3	H3k36me3	1	6.275347728979032E-4
emissionprobs	14	4	H3k4me1	0	0.9993847334243392
emissionprobs	14	4	H3k4me1	1	6.152665756608879E-4
emissionprobs	14	5	H3k4me2	0	0.999908300440433
emissionprobs	14	5	H3k4me2	1	9.169955956696739E-5
emissionprobs	14	6	H3k4me3	0	0.9999369973765823
emissionprobs	14	6	H3k4me3	1	6.300262341767738E-5
emissionprobs	14	7	H3k79me2	0	0.999774051605179
emissionprobs	14	7	H3k79me2	1	2.2594839482102598E-4
emissionprobs	14	8	H3k9ac	0	0.9985451176258481
emissionprobs	14	8	H3k9ac	1	0.0014548823741519531
emissionprobs	14	9	H4k20me1	0	0.9983536705728948
emissionprobs	14	9	H4k20me1	1	0.0016463294271051644
emissionprobs	15	0	Ctcf	0	0.1370408984925937
emissionprobs	15	0	Ctcf	1	0.8629591015074063
emissionprobs	15	1	H3k27ac	0	0.998479495385178
emissionprobs	15	1	H3k27ac	1	0.0015205046148220557
emissionprobs	15	2	H3k27me3	0	0.99685965650107
emissionprobs	15	2	H3k27me3	1	0.0031403434989298994
emissionprobs	15	3	H3k36me3	0	0.9974214638568767
emissionprobs	15	3	H3k36me3	1	0.0025785361431233784
emissionprobs	15	4	H3k4me1	0	0.9630677362146133
emissionprobs	15	4	H3k4me1	1	0.03693226378538667
emissionprobs	15	5	H3k4me2	0	0.9672134457768518
emissionprobs	15	5	H3k4me2	1	0.032786554223148245
emissionprobs	15	6	H3k4me3	0	0.9996573331621156
emissionprobs	15	6	H3k4me3	1	3.426668378844194E-4
emissionprobs	15	7	H3k79me2	0	0.9989785609858782
emissionprobs	15	7	H3k79me2	1	0.001021439014121756
emissionprobs	15	8	H3k9ac	0	0.9955560038255201
emissionprobs	15	8	H3k9ac	1	0.0044439961744797965
emissionprobs	15	9	H4k20me1	0	0.9907316358644226
emissionprobs	15	9	H4k20me1	1	0.00926836413557733
